row=1, decision=pass, coverage=1.00, overlap=1.00
row=2, decision=pass, coverage=1.00, overlap=1.00
row=3, decision=pass, coverage=1.00, overlap=1.00
row=4, decision=pass, coverage=1.00, overlap=1.00
row=1, decision=pass, coverage=1.00, overlap=1.00
row=2, decision=pass, coverage=1.00, overlap=1.00
row=3, decision=pass, coverage=1.00, overlap=1.00
row=4, decision=pass, coverage=1.00, overlap=1.00
row=1, decision=pass, coverage=0.92, overlap=0.81
row=1, decision=pass, coverage=0.92, overlap=0.81
